film_id|actor_first_name|actor_last_name|title|description|release_year|rental_duration|rental_rate|length|replacement_cost|rating|special_features|category|language
1|PENELOPE|GUINESS|ACADEMY DINOSAUR|A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies|2006|6|0.99|86|20.99|PG|{Deleted Scenes,Behind the Scenes}|Documentary|English             
23|PENELOPE|GUINESS|ANACONDA CONFESSIONS|A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia|2006|3|0.99|92|9.99|R|{Trailers,Deleted Scenes}|Animation|English             
25|PENELOPE|GUINESS|ANGELS LIFE|A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin|2006|3|2.99|74|15.99|G|{Trailers}|New|English             
106|PENELOPE|GUINESS|BULWORTH COMMANDMENTS|A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback|2006|4|2.99|61|14.99|G|{Trailers}|Games|English             
140|PENELOPE|GUINESS|CHEAPER CLYDE|A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan|2006|6|0.99|87|23.99|G|{Trailers,Commentaries,Behind the Scenes}|Sci-Fi|English             
166|PENELOPE|GUINESS|COLOR PHILADELPHIA|A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert|2006|6|2.99|149|19.99|G|{Commentaries,Behind the Scenes}|Classics|English             
277|PENELOPE|GUINESS|ELEPHANT TROJAN|A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon|2006|4|4.99|126|24.99|PG-13|{Behind the Scenes}|Horror|English             
361|PENELOPE|GUINESS|GLEAMING JAWBREAKER|A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies|2006|5|2.99|89|25.99|NC-17|{Trailers,Commentaries}|Sports|English             
438|PENELOPE|GUINESS|HUMAN GRAFFITI|A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico|2006|3|2.99|68|22.99|NC-17|{Trailers,Behind the Scenes}|Games|English             
499|PENELOPE|GUINESS|KING EVOLUTION|A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon|2006|3|4.99|184|24.99|NC-17|{Trailers,Deleted Scenes,Behind the Scenes}|Family|English             
